id1	id2	type
AT4G00150	AT5G66720	PPI
AT2G33210	AT3G49580	PPI
AT4G22250	AT5G66720	PPI
AT2G22640	AT3G53350	PPI
AT1G50575	AT3G19895	PPI
AT2G43370	AT3G11590	PPI
AT1G03600	AT3G13720	PPI
AT1G02140	AT4G22250	PPI
AT2G43370	AT5G25490	PPI
AT2G24180	AT4G19030	PPI
AT1G75950	AT2G02360	PPI
AT2G47880	AT5G06950	PPI
AT3G15540	AT3G23050	PPI
AT1G22920	AT3G23050	PPI
AT1G22920	AT2G21660	PPI
AT1G22920	AT5G47100	PPI
AT1G27300	AT2G03120	PPI
AT1G27300	AT2G33120	PPI
AT1G27300	AT3G25220	PPI
AT2G37340	AT3G55460	PPI
AT3G48150	AT4G13640	PPI
AT3G47620	AT5G66720	PPI
AT2G43370	AT3G54230	PPI
AT3G13720	AT5G37680	PPI
AT3G51960	AT3G62790	PPI
AT3G12110	AT5G09810	PPI
AT2G45850	AT5G62260	PPI
AT1G01010	AT4G28040	PPI
AT3G13990	AT5G48385	PPI
AT5G66560	AT5G66720	PPI
AT1G18660	AT2G35940	PPI
AT1G07430	AT3G06610	PPI
AT1G18660	AT5G08330	PPI
AT3G27540	AT3G47620	PPI
AT2G38610	AT3G47620	PPI
AT3G47620	AT5G50350	PPI
AT1G15385	AT5G02150	PPI
AT2G36410	AT2G38860	PPI
AT3G10140	AT3G26030	PPI
AT2G22640	AT3G23910	PPI
AT2G37180	AT4G00430	PPI
AT1G32230	AT3G04710	PPI
AT1G15385	AT5G11980	PPI
AT1G15385	AT3G14780	PPI
AT2G47030	AT5G22290	PPI
AT4G01090	AT5G66720	PPI
AT2G24020	AT3G54960	PPI
AT2G45850	AT3G47620	PPI
AT1G50575	AT3G47620	PPI
AT1G23730	AT1G79470	PPI
AT2G37340	AT4G32660	PPI
AT1G02140	AT5G22120	PPI
AT3G55460	AT4G32660	PPI
AT4G23400	AT5G22290	PPI
AT3G19390	AT5G22290	PPI
AT1G77130	AT5G22290	PPI
